Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,
Westpac Banking Group,Financials,Major Banks,Australia,Australia,99,38.4,6.8,651.4,69
L'Or̩al Group,Consumer Staples,Household/Personal Care,Europe,France,98.7,30.5,3.9,43.1,70
BNP Paribas,Financials,Major Banks,Europe,France,98.6,123.2,6.4,2480.5,71
SAP,Information Technology,Software & Programming,Europe,Germany,97.1,22.3,4.4,37.3,72
Vodafone,Telecommunication Services,Telecommunications services,Europe,United Kingdom,96.9,65.1,31.8,235.6,73
American Express,Financials,Consumer Financial Services,North America,United States,96.9,34.9,5.3,155.9,74
McDonald's,Consumer Discretionary,Restaurants,North America,United States,96.9,28.1,5.6,36.6,75
Royal Bank of Canada,Financials,Major Banks,North America,Canada,95.7,37.8,8,811.4,76
Boeing,Industrials,Aerospace & Defense,North America,United States,95.3,86.6,4.6,92.7,77
Amgen,Health Care,Biotechs,North America,United States,95.2,18.7,5.1,66.1,78
Sinopec-China Petroleum,Energy,Oil & Gas Operations,Asia,China,94.7,445.3,10.9,228.4,79
Saudi Basic Industries,Materials,Diversified Chemicals,Asia,Saudi Arabia,94.4,50.4,6.7,90.4,80
Inditex,Consumer Discretionary,Apparel/Footwear Retail,Europe,Spain,94.3,22.2,3.2,18.6,81
Softbank,Telecommunication Services,Telecommunications services,Asia,Japan,91.2,55.6,5.8,156.6,82
Eni,Energy,Oil & Gas Operations,Europe,Italy,90.9,152.7,6.9,186.6,83
Lloyds Banking Group,Financials,Major Banks,Europe,United Kingdom,89.9,58.6,-1.3,1402.9,84
3M,Industrials,Conglomerates,North America,United States,89.8,30.9,4.7,33.6,85
United Parcel Service,Industrials,Air Courier,North America,United States,89.6,55.5,4.4,36.2,86
Statoil,Energy,Oil & Gas Operations,Europe,Norway,89.2,105.2,6.8,146,87
Gazprom,Energy,Oil & Gas Operations,Asia,Russia,88.8,164.6,39,397.2,88
MasterCard,Financials,Consumer Financial Services,North America,United States,88.8,8.3,3.1,14.2,89
CVS Caremark,Consumer Staples,Drug Retail,North America,United States,87.8,126.8,4.6,71.5,90
Petrobras,Energy,Oil & Gas Operations,South America,Brazil,86.8,141.2,10.9,319.2,91
ConocoPhillips,Energy,Oil & Gas Operations,North America,United States,86.3,55.6,9.2,118.1,92
TD Bank Group,Financials,Major Banks,North America,Canada,86.2,31.3,6.6,815.2,93
Bristol-Myers Squibb,Health Care,Pharmaceuticals,North America,United States,85.9,16.4,2.6,38.6,94
Union Pacific,Industrials,Railroads,North America,United States,85.8,22,4.4,49.7,95
ANZ,Financials,Major Banks,Australia,Australia,83.9,34,6.2,659.7,96
Ecopetrol,Energy,Oil & Gas Operations,South America,Colombia,83.6,37.7,7,68.5,97
BMW Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,83.4,101,7.1,190.7,98
AbbVie,Health Care,Pharmaceuticals,North America,United States,82.8,18.8,4.1,29.2,99
AstraZeneca,Health Care,Pharmaceuticals,Europe,United Kingdom,82.3,25.7,2.6,55.9,100
